Data saved: 26-04-2025 13:24:13
------------------------------------------
[1569888000000,"8289.97000000","8500.00000000","8173.05000000","8419.86000000","13205.63729700",1569909599999,"110482874.00227163",106452,"7263.29083600","60754018.85571586","0"]
[1569909600000,"8419.60000000","8420.00000000","8282.06000000","8353.42000000","8589.13569200",1569931199999,"71721042.38289071",82655,"4337.41891500","36217618.90178018","0"]
[1569931200000,"8353.35000000","8497.00000000","8235.00000000","8277.22000000","14347.81218600",1569952799999,"119902293.92478209",123262,"7304.05387300","61069154.82679796","0"]
[1569952800000,"8277.48000000","8399.00000000","8225.38000000","8292.44000000","7337.00224500",1569974399999,"60934649.69014314",75343,"3615.39218000","30034406.39139388","0"]
[1569974400000,"8292.67000000","8330.00000000","8151.22000000","8161.84000000","6444.90993400",1569995999999,"53064198.17303146",62149,"3118.37989400","25680587.78079550","0"]
[1569996000000,"8165.34000000","8289.00000000","8162.00000000","8269.04000000","6089.35694200",1570017599999,"50117257.92043984",62028,"3163.78865400","26039018.92542677","0"]
[1570017600000,"8268.67000000","8300.00000000","8182.15000000","8230.16000000","7759.98518200",1570039199999,"63869218.06613221",77592,"4017.12346300","33067545.93080130","0"]
[1570039200000,"8230.60000000","8373.91000000","8213.08000000","8359.94000000","5949.13458600",1570060799999,"49274677.69904110",59661,"3353.06883900","27781104.49660784","0"]
[1570060800000,"8360.00000000","8393.00000000","8258.33000000","8281.36000000","5171.11934200",1570082399999,"43094719.10002344",55191,"2718.56520200","22657444.66021677","0"]
[1570082400000,"8281.26000000","8300.39000000","8185.38000000","8217.02000000","7195.12900800",1570103999999,"59352543.54169873",62070,"3380.94667200","27896888.28187430","0"]
[1570104000000,"8218.66000000","8247.40000000","8060.00000000","8149.03000000","12119.59509200",1570125599999,"98742905.84518627",98675,"5794.70302400","47222513.67713966","0"]
[1570125600000,"8149.03000000","8280.00000000","8088.00000000","8223.96000000","6002.44061600",1570147199999,"49101582.78450546",65371,"3427.19263700","28049610.47328980","0"]
[1570147200000,"8224.43000000","8232.41000000","8005.00000000","8093.40000000","9223.93801600",1570168799999,"74739901.52830172",78989,"4075.96343300","33041918.01659699","0"]
[1570168800000,"8093.44000000","8178.96000000","8084.18000000","8151.40000000","6224.35343800",1570190399999,"50575307.70688967",64200,"3127.61298800","25417853.88413148","0"]
[1570190400000,"8150.59000000","8207.77000000","8122.00000000","8164.58000000","6867.49506400",1570211999999,"56017345.74212164",64086,"3807.99029200","31066311.04278566","0"]
[1570212000000,"8163.29000000","8217.47000000","8130.02000000","8137.13000000","4160.54388600",1570233599999,"33993056.70490204",51737,"2225.24354200","18182150.80223371","0"]
[1570233600000,"8137.09000000","8149.99000000","8093.99000000","8117.00000000","4112.93226000",1570255199999,"33396124.95531829",49451,"1953.44919300","15864064.80524157","0"]
[1570255200000,"8117.00000000","8140.00000000","8070.00000000","8081.75000000","4536.49218300",1570276799999,"36722723.92878281",55151,"2156.25279200","17456894.00965356","0"]
[1570276800000,"8081.20000000","8100.00000000","8012.98000000","8038.10000000","7794.57384700",1570298399999,"62790406.37350056",71255,"3554.13404600","28630173.62435173","0"]
[1570298400000,"8039.02000000","8183.41000000","8037.10000000","8126.19000000","5463.61727400",1570319999999,"44343621.74536743",61912,"2956.23379100","23992711.40465408","0"]
[1570320000000,"8127.55000000","8153.87000000","8011.68000000","8051.50000000","5032.39667900",1570341599999,"40584536.05829209",58019,"2379.55278300","19193925.02065000","0"]
[1570341600000,"8051.50000000","8062.31000000","7860.00000000","7941.91000000","10221.80616000",1570363199999,"81181372.19572634",88781,"4884.71310200","38787939.55643487","0"]
[1570363200000,"7942.72000000","8050.00000000","7861.01000000","7974.53000000","9330.60580800",1570384799999,"74303814.34759642",91797,"4809.39392000","38302698.09715606","0"]
[1570384800000,"7971.75000000","7991.00000000","7785.00000000","7854.25000000","10091.29540200",1570406399999,"79378175.43126016",87198,"4363.65033600","34335267.95932769","0"]
[1570406400000,"7855.30000000","7907.86000000","7762.00000000","7836.70000000","8338.08229800",1570427999999,"65304273.03641295",83717,"4190.51929500","32830160.32808260","0"]
[1570428000000,"7836.03000000","8060.00000000","7801.41000000","7984.80000000","13518.42264300",1570449599999,"107404270.67503346",124634,"7165.39467100","56947042.06707059","0"]
[1570449600000,"7984.78000000","8281.32000000","7983.59000000","8263.93000000","21405.60468300",1570471199999,"174657832.20984858",172876,"12362.39527700","100859307.90850271","0"]
[1570471200000,"8263.39000000","8299.92000000","8175.37000000","8190.09000000","8939.96267300",1570492799999,"73555303.92296816",101378,"4370.34046100","35955791.34016567","0"]
[1570492800000,"8190.82000000","8325.00000000","8186.45000000","8246.60000000","9166.31104200",1570514399999,"75627923.48341860",102326,"4459.02500500","36800647.28586760","0"]
[1570514400000,"8244.81000000","8259.99000000","8126.81000000","8179.00000000","10249.88995700",1570535999999,"83893577.60604288",103785,"4660.07073200","38145444.03206507","0"]
[1570536000000,"8179.01000000","8246.00000000","8130.00000000","8174.24000000","9131.65140000",1570557599999,"74777973.07896930",100464,"4303.01964700","35249273.34383913","0"]
[1570557600000,"8174.25000000","8210.00000000","8088.75000000","8168.39000000","6904.80502400",1570579199999,"56375773.97301452",89110,"3471.62175600","28355989.51380754","0"]
[1570579200000,"8170.79000000","8203.70000000","8115.00000000","8148.95000000","5336.19930300",1570600799999,"43516470.47353771",75047,"2659.06424100","21687140.81720905","0"]
[1570600800000,"8148.36000000","8239.00000000","8134.54000000","8185.90000000","9151.46938900",1570622399999,"74903778.27221337",103861,"4723.00020600","38662796.00892652","0"]
